STATE,political_party,contacts_adj_mean,mask_adj_mean,contacts_adj_se,mask_adj_se
New York,Democrat,5.3684181237953705,72.07321364223324,0.42372063697143997,2.2219475409273683
New York,Independent,4.8635990023018305,65.18627243029967,0.46504956332932956,2.6433859741309713
New York,Republican,6.796272293255873,67.72696934612419,0.49035607294808,2.4693872187998163
North Carolina,Democrat,4.199482537725054,57.82259862844212,0.9412656826218383,5.561720637198238
North Carolina,Independent,5.238639760751111,37.34864254711715,1.0396521349986207,6.40935601058475
North Carolina,Republican,4.132495114341555,46.917495772657276,1.0093720888461017,5.385715340005555
North Dakota,Democrat,2.091618110763875,53.96487395961209,5.185867936467621,33.48719576973856
North Dakota,Independent,6.491903051395774,52.68516568794067,2.9184706434625562,16.477039844974968
North Dakota,Republican,2.570580821041615,79.75175178222375,3.786704518783602,40.51742415418504
Ohio,Democrat,5.55863429627137,65.92662866904723,0.9655374038054877,5.0735484313408525
Ohio,Independent,3.41359157088152,38.65554782896909,0.763459911747327,4.172836517697819
Ohio,Republican,6.121262180197482,53.50146786452888,0.8917547397977053,4.6056424657477875
Oklahoma,Democrat,3.153839984460897,62.82779556753526,1.980196304382463,10.635929520863828
Oklahoma,Independent,4.5686457201797825,43.2907680851318,2.3341603215342435,11.93602674017269
Oklahoma,Republican,5.142416018521942,38.764474571184365,1.9426307853129035,12.012514493412167
Oregon,Democrat,3.0520598198825337,49.07383031864491,1.8251952716184907,9.397004976059353
Oregon,Independent,4.8711279125391,73.03685933185254,1.4611782581104287,7.49380365848832
Oregon,Republican,3.6804270035808138,51.815870954295605,1.6000904141889785,10.435818621521847
Pennsylvania,Democrat,4.905102935293447,68.38407418027789,0.4445208320706687,2.4204170144489
Pennsylvania,Independent,5.368264126737596,61.80572382752128,0.4645971697831961,2.5203576245423513
Pennsylvania,Republican,6.345495965557749,58.95748602494083,0.4367751066943282,2.342030802968263
Rhode Island,Democrat,1.8309730627989806,NA,10.920592698748287,NA
Rhode Island,Independent,5.330853426368712,72.46328824806896,2.801867258841105,13.673342440487621
Rhode Island,Republican,2.1455650719717765,NA,7.0800895973101365,NA
South Carolina,Democrat,4.982960256287104,76.61099649491752,1.3290052724091987,7.104428360546761
South Carolina,Independent,4.9892041168568895,36.05026676293601,1.1785899235040906,6.922586786098872
South Carolina,Republican,5.855134417322104,62.47046087925555,1.3732108963247331,7.656411426907718
South Dakota,Democrat,9.285413642346557,22.361327519176413,4.1064917779020815,21.524107794527183
South Dakota,Independent,11.96324958505461,45.43509449562326,2.4074190628529792,12.065628402244515
South Dakota,Republican,13.145079638228701,30.195554921555747,3.940474754233627,17.687180123493373
Tennessee,Democrat,11.098499320948022,36.30395551463904,1.353465074333368,7.328059697254996
Tennessee,Independent,7.089082206163982,47.689655529046796,1.1266805264052857,5.60075846286166
Tennessee,Republican,6.776071740608676,51.93846102280713,0.9484983482543633,5.113626307139642
Texas,Democrat,5.111480490041204,67.86869631142392,0.6857964521639979,3.731033579765849
Texas,Independent,4.538316297520848,49.969571248786494,0.6805208290282719,3.8476547696087184
Texas,Republican,7.585701254898117,50.64109915390018,0.7096660375264948,3.8261706389774157
Utah,Democrat,3.0076259451117484,66.61551743915376,4.730864130998625,25.186129748924326
Utah,Independent,4.292612042593241,30.798953072684988,1.9683417110285963,12.120611479010673
Utah,Republican,7.7563072022187995,38.44668204840916,2.002951003798891,11.24270317447072
Vermont,Democrat,6.830940445710215,69.8998786699664,4.243565819686566,34.63196606892316
Vermont,Independent,3.4913974830653562,57.5404148103721,3.6891958153506788,18.79940968149175
Vermont,Republican,5.0115933177381145,26.572316175575153,2.856094743737248,12.824513896063644
Virginia,Democrat,7.0549666065371195,75.78317060069412,1.118023951253358,6.026759921062366
Virginia,Independent,4.481146356791008,51.26082571131541,0.9780233104418893,5.7028942600181445
Virginia,Republican,5.42512565569076,68.65947434518621,1.1292545455441123,6.196119150374672
Washington,Democrat,3.4217044233844587,63.79670067184675,1.23942445435329,6.836022298944932
Washington,Independent,5.420396667991691,54.48999600399104,1.0703597033897487,6.137187770953713
Washington,Republican,5.549242489246122,45.3872225250121,1.6732549681575741,9.264557824067232
West Virginia,Democrat,4.2040629706541415,45.67037844684879,2.443508832371919,20.441172448568686
West Virginia,Independent,4.8622454529255545,41.27257490845766,1.7296893248873693,9.382504848072907
West Virginia,Republican,3.8775746818630346,31.467875567501974,2.0201588194468076,9.297019789727933
Wisconsin,Democrat,5.385227806098847,61.558753249974195,1.4081273826471992,7.302535929629647
Wisconsin,Independent,2.4890686881836794,38.98508892201709,1.0909516575409564,6.53227120434249
Wisconsin,Republican,5.1865655144048795,45.84040168132228,1.573612808904468,8.302197173793779
Wyoming,Democrat,5.4003850210298765,68.04704264054152,5.924644123114064,28.17281217000282
Wyoming,Independent,3.547340231587273,49.13656589530856,4.2675442478739685,26.936912177811596
Wyoming,Republican,3.5767852116732874,38.667587009817865,4.143762632915521,22.883323613166926
